name,category,email,phone,website,addr_housenumber,addr_street,addr_city,addr_postcode,lat,lon,osm_link,maps_link
Chudleigh's Farm,other,customercare@chudleighs.farm,,https://www.chudleighs.com/visit-our-farm/,9528,Regional Road 25,Halton Hills,L9T 2X7,,,https://www.openstreetmap.org/node/9938344777,
Clearview Dental,amenity:dentist,dental@clearviewmilton.ca,,https://clearviewdentalmilton.ca/,10,Bronte St South,Milton,L9T 9M2,,,https://www.openstreetmap.org/node/11772948085,
CW Therapy,other,info@cwtherapy.ca,+1 9054123730,https://www.cwtherapy.ca/,75,Main Street South,,L7G3G3,,,https://www.openstreetmap.org/node/12145246899,
Dentistry In Oak Park,amenity:dentist,info@drplewik.com,+1-905-257-5444,https://drplewik.com/,,,,,,,https://www.openstreetmap.org/node/2138916393,
Desi Road,amenity:restaurant,info@desiroad.ca,+1-289-499-1000,https://desiroad.ca/,185,Fletchers Creek Boulevard,,L6X 0Y7,,,https://www.openstreetmap.org/node/10746802442,
Desired Smiles Dental,amenity:dentist,info@desiredsmiles.com,+1 905 637 5463,https://desiredsmiles.com/,2108,Itabashi Way,Burlington,L7M 5A5,,,https://www.openstreetmap.org/node/4185688496,
Dr Ngi Optometrist,amenity:doctors,DrNgiOffice@Gmail.com,+1 905 634-5400,https://drngioptometry.ca,11-516,Plains Road East,Burlington,L7T 2E2,,,https://www.openstreetmap.org/node/10264963513,
Dr. Utaca Chen,amenity:dentist,melissa@tacdental.com,+1-905-257-4751,https://familydentistoakville.com,2427,Trafalgar Road,,L6H 6K7,,,https://www.openstreetmap.org/node/3410458843,
Edo Japan,amenity:fast_food,edojapan.oakville@gmail.com,+1-289-725-2999,https://www.edojapan.com/locations/oakville/556/oakville-north-smartcentres-dundas-trafalgar/,,,,,,,https://www.openstreetmap.org/node/12527937437,
Exterminator Oakville,"office:Pest_Control,_Home_Improvement",inquiries@exterminatoroakville.ca,+1 647-560-0992,https://www.exterminatoroakville.ca,700,Third Line,Oakville,L6L 4B1,,,https://www.openstreetmap.org/node/7805583924,
Familia Fine Foods,amenity:restaurant,info@familiafinefoods.com,+1-647-471-6178,https://familiafinefoods.com/,3245,Harvester Road,,,,,https://www.openstreetmap.org/node/4441468789,
Food For Life,shop:food,mailto:info@foodforlife.ca,+1-905-635-1106,https://foodforlife.ca,2258,Mountainside Drive,Burlington,L7P 1B7,,,https://www.openstreetmap.org/node/13455392920,
For Your Convenience - Bitcoin Well ATM,amenity:atm,hello@bitcoinwell.com,+1-888-711-3866,https://bitcoinwell.com,2238,Mountainside Drive,Burlington,L7P 1B5,,,https://www.openstreetmap.org/node/13931780090,
Georgetown Bread Basket,amenity:social_facility,info@georgetownbreadbasket.ca,+1-905-873-3368,https://georgetownbreadbasket.ca/,49B,Mountainview Road North,Georgetown,,,,https://www.openstreetmap.org/node/5553535865,
Goemans Appliances Clearance Centre,shop:appliance,sales@goemans.com,+1-905-335-5100,https://www.goemans.com/gmen/ustorelocator/location/storedetail/goemans-appliances-burlington-clearance-centre/,1510,North Service Road,Burlington,L7P 5C7,,,https://www.openstreetmap.org/node/3278169348,
Good Health Mart,shop:health_food,nicole@goodhealthmart.com,+1-905-878-0444,https://www.goodhealthmart.com,840,Main Street East,Milton,L9T 0J4,,,https://www.openstreetmap.org/node/725881785,
Haber Lawyers,office:lawyer,info@haberlawyers.com,+1 905 639 8894,https://www.haber-lawyer.com,3370,South Service Road,Burlington,L7N 3M6,,,https://www.openstreetmap.org/node/7343073910,
Hellamaid Cleaning Services Burlington,craft:cleaning,weclean@hellamaid.com,+1 289-812-8155,https://hellamaid.ca/house-cleaning-burlington/,5063,N Service Rd,Burlington,L7L 5H6,,,https://www.openstreetmap.org/node/13935538847,
Her Studios Inc,shop:hairdresser,hello@herstudiosinc.com,+1 365 366 4272,https://www.herstudiosinc.com/,5220,Dundas Street,Burlington,L7L 0J4,,,https://www.openstreetmap.org/node/11244860643,
Heritage Fish & Chips,amenity:restaurant,heritagefishnchips@yahoo.ca,+1-905-451-0725,https://www.heritagefishnchips.com/,,,,,,,https://www.openstreetmap.org/node/2262125712,
Heritage Way Medical Spa,shop:beauty,laser@hwmedicalspa.com,+1-905-821-0940,https://www.hwmedicalspa.com/,,,,,,,https://www.openstreetmap.org/node/3942706540,
Honey West,amenity:restaurant,info@honeywest.ca,+1-905-634-7999,http://www.honeywest.ca/,,,,,,,https://www.openstreetmap.org/node/3021589806,
Imam Bukhari Centre,amenity:place_of_worship,info@ahlehadithcanada.org,+1-647-204-1261,https://ahlehadithcanada.org/,50,Steeles Avenue East,Milton,,,,https://www.openstreetmap.org/node/11495864137,
Jacuzzi Burlington,shop:swimming_pool,sales@jacuzziontario.com,+1 905-635-0670,https://www.jacuzziontario.com/locations/burlington/,3073,North Service Road,Burlington,L7N 3G1,,,https://www.openstreetmap.org/node/8126158561,
John The Plumber,craft:plumber,John@johntheplumber.ca,+1 289-348-2366,https://johntheplumber.ca/burlington,3344,Mainway,Burlington,L7M 1A7,,,https://www.openstreetmap.org/node/7788133732,
John The Plumber,craft:plumber,office@johntheplumber.ca,+1-289-217-8396,https://johntheplumber.ca/vaughan/,4040,Steeles Avenue West,Milton,L9T 2V5,,,https://www.openstreetmap.org/node/13695160201,
Kawartha Dairy,shop:dairy,burlington@kawarthadairy.com,+1 9056321101,https://kawarthadairy.com/burlington/,3465,Fairview Street,Burlington,,,,https://www.openstreetmap.org/node/12015907035,
Kumon Math & Reading Centre,amenity:prep_school,oakvillejoshuacreek_on@ikumon.com,+1-905-901-3780,,2501,Prince Michael Drive,Oakville,L6H 0E9,,,https://www.openstreetmap.org/node/4870844006,
La Creme de la Creme Creamery,amenity:ice_cream,info@lacremedelacremecreamery.com,,https://lacremedelacremecreamery.ca,389,John Street,Burlington,L7R 2K3,,,https://www.openstreetmap.org/node/12626051853,
La Viva Hair Studio,shop:hairdresser,laviva.hairstudio@outlook.com,+1 905-634-3739,https://www.lavivahairstudios.com/,355,Brant Street,Burlington,L7R 2E7,,,https://www.openstreetmap.org/node/12779825074,
Lettuce Love Café,amenity:restaurant,ieat@lettucelovecafe.com,+1-905-637-2700,https://www.lettucelovecafe.com,399,John Street,Burlington,L7R 2K3,,,https://www.openstreetmap.org/node/6565132173,
Little Bloomers Childcare Centre,amenity:childcare,littlebloomerscc@gmail.com,+1 9054990789,,153,Queen Street West,,,,,https://www.openstreetmap.org/node/12569711173,
Little Free Library,amenity:public_bookcase,littlefreelibrary@rtms.ca,,http://littlefreelibrary.rtms.ca,,,,,,,https://www.openstreetmap.org/node/8200937950,
M&M Food Market,shop:frozen_food,store028@mmfoodmarket.com,+1-905-336-8757,https://mmfoodmarket.com/store_locations/28,2172,Mountain Grove Avenue,Burlington,L7P 2J3,,,https://www.openstreetmap.org/node/7061058093,
Maple Hill Tree Services,craft:gardener,contactus@maplehilltree.com,+1 905-824-2100,https://maplehilltree.com/,1220,Heritage Road,Burlington,L7L4X9,,,https://www.openstreetmap.org/node/8923654084,
Mapleview Mall - Bitcoin Well ATM,amenity:atm,hello@bitcoinwell.com,+1-888-711-3866,https://bitcoinwell.com,900,Maple Avenue,Burlington,L7S 2J8,,,https://www.openstreetmap.org/node/13921163469,
Massage Addict,shop:massage,oakville@massageaddict.ca,+1-905-257-9988,https://www.massageaddict.ca/oakville,,,,,,,https://www.openstreetmap.org/node/12924876148,
Mathnasium,amenity:prep_school,oakvillenorth@mathnasium.ca,+1-905-582-9400,https://www.mathnasium.ca,2423,Trafalgar Road,,L6H 6K7,,,https://www.openstreetmap.org/node/3410458845,
Millenium Gardens,amenity:events_venue,info@millenniumgardens.ca,,https://www.millenniumgardens.ca/,20,Polonia Avenue,,,,,https://www.openstreetmap.org/node/10724653535,
MK5,office:advertising_agency,hello@mk5.ai,+1-289-834-0665,https://mk5.ai,4145,North Service Road,Burlington,L7L 6A3,,,https://www.openstreetmap.org/node/12480416520,
Molly Cake,shop:bakery,info@mollycake.ca,+1 905 631 9647,https://mollycake.ca/,1160,King Road,,,,,https://www.openstreetmap.org/node/9610814430,
Nannu's Pastizzi,shop:bakery,nannuspastizzi@yahoo.ca,+1-905-542-4999,,6981,Millcreek Drive,,,,,https://www.openstreetmap.org/node/4013854375,
Nickel Brook,craft:brewery,retail@nickelbrook.com,+1 9056812739,https://www.nickelbrook.com/,3426,Mainway,,,,,https://www.openstreetmap.org/node/12365111895,
Nostalgia Games Cafe,amenity:cafe,info@nostalgiagamescafe.com,+1-289-337-9752,https://www.nostalgiagamescafe.com,2178,Mountain Grove Avenue,Burlington,L7P 5A8,,,https://www.openstreetmap.org/node/13349000620,
Oak City Pharmacy,amenity:pharmacy,info@oakcitypharmacy.com,+1-289-725-0505,https://oakcitypharmacy.com/,,,,,,,https://www.openstreetmap.org/node/10280206090,
Oakwood Health Network,other,info@oakwoodhealth.com,+1 905-469-4465,https://www.oakwoodhealth.com,3075,Hospital Gate,Oakville,L6M 1M1,,,https://www.openstreetmap.org/node/9344616800,
Ocean Dental Care,amenity:dentist,info@oceandentalcare.ca,+1 289 812 0353,https://www.oceandentalcare.ca,5220,Dundas Street,Burlington,L7L 0J4,,,https://www.openstreetmap.org/node/11244860644,
Pegasus Appliance Repair,shop:appliance,info@pegasusappliancerepair.ca,+1-289-312-4771,https://pegasusappliancerepair.ca/burlington-appliance-repair/,181,Plains Road West,Burlington,L7T 0B1,,,https://www.openstreetmap.org/node/12312160608,
Piper Arms Pub,amenity:pub,burlington@piperarmspub.com,+1-905-631-0002,https://piperarmspub.com/,4155,Fairview Street,Burlington,L7L 2A4,,,https://www.openstreetmap.org/node/7061184835,
Promotional Source,shop:gift,info@promotionalsource.ca,+1-905-849-5646;+1-866-716-1706,https://promotionalsource.ca/,2400,Wyecroft Road,Oakville,L6L 6M1,,,https://www.openstreetmap.org/node/13730719140,
RAVEN5,office:advertising_agency,sales@raven5.com,+1-855-543-8345,https://www.raven5.com,461,North Service Road West,Oakville,L6M 2V5,,,https://www.openstreetmap.org/node/6772411463,
Ryna's Nails,shop:beauty,info@rynasnails.com,+1 289-813-1994,https://rynasnails.com/,1505,Guelph Line,Burlington,L7P 3B6,,,https://www.openstreetmap.org/node/11917984530,
Shah Halal Meat Shop,shop:butcher,shahalalmeat@hotmail.com,+1-905-582-1319,https://shahhalalmeat.weebly.com,2427,Trafalgar Road,,L6H 6K7,,,https://www.openstreetmap.org/node/3410458848,
Shawarma Alley,amenity:fast_food,shawarmaally@gmail.com,+1-519-763-3198,https://shawarma-alley.com/index.html,,,,L9T 1P1,,,https://www.openstreetmap.org/node/2206877075,
Son of a Peach Pizzeria,amenity:restaurant,hey@heypeachy.com,+1-905-632-4040,https://www.heypeachy.com/,2049,Pine Street,Burlington,L7R 2N1,,,https://www.openstreetmap.org/node/3021589809,
South Oak Dental,amenity:dentist,reception@southoakdental.com,,,125,Bronte Road,Oakville,,,,https://www.openstreetmap.org/node/13356378530,
Southside@Main,amenity:place_of_worship,office@southsidemilton.org,+1-905-878-5664,https://www.miltonbiblechurch.ca,200,Main Street East,,L9T 1N8,,,https://www.openstreetmap.org/node/2216883915,
Spiritleaf,shop:cannabis,meadowvale@spiritleaf.ca,+1-905-824-5923,https://spiritleaf.ca/collections/spiritleaf-meadowvale,,,,,,,https://www.openstreetmap.org/node/1714830063,
St. George's Anglican Church,amenity:place_of_worship,office@stgeorgesgeorgetown.com,+1-905-877-8044,https://stgeorgesgeorgetown.com/,60,Guelph Street,Halton Hills,L7G 3Z5,,,https://www.openstreetmap.org/node/5209376128,
Still Dynamics,other,info@stilldynamics.ca,+1 905-464-5257,https://www.stilldynamics.ca/,3505,Wyecroft Road,Oakville,L6L 0B6,,,https://www.openstreetmap.org/node/1080021882,
Studio.89,amenity:cafe,beawesome@studio89.org,+1 9052478089,https://studio89.org,2520 Unit 1,Eglinton Avenue East,,L5M 0Y4,,,https://www.openstreetmap.org/node/3639905312,
SunnyView Dental,amenity:dentist,georgetown@sunnyviewdental.ca,+1-905-877-9877,https://www.sunnyviewdental.ca/georgetown,210,Guelph Street,Georgetown,L7G 4A9,,,https://www.openstreetmap.org/node/2280038220,
Symposium Cafe Restaurant Georgetown,amenity:restaurant,symposium.georgetown@symposiumcafe.com,+1-905-877-2222,https://symposiumcafe.com/locations/georgetown-restaurants,235,Guelph Street,Georgetown,L7G 4A8,,,https://www.openstreetmap.org/node/4280405259,
Symposium Cafe Restaurant Milton,amenity:restaurant,symposium.milton@symposiumcafe.com,+1-905-878-1777,https://symposiumcafe.com/locations/milton-restaurants,611,Holly Avenue,Milton,L9T 0K4,,,https://www.openstreetmap.org/node/2230279870,
Symposium Cafe Restaurant Oakville,amenity:restaurant,symposium.oakville@symposiumcafe.com,+1-905-847-2200,https://symposiumcafe.com/locations/oakville-restaurants,1500,Upper Middle Road West,Oakville,L6M 3G3,,,https://www.openstreetmap.org/node/1960821026,
Tegan Monaco Photography,craft:photographer,info@teganmonacophotography.com,+1-647-615-3571,https://www.teganmonacophotography.com/,35,Campbell Avenue East,Milton,L0P 1B0,,,https://www.openstreetmap.org/node/11782594376,
The Rad Brothers Sports Bar & Tap House,amenity:pub,theradbrothers@gmail.com,+1-905-875-1119,https://theradbrothers.com,550,Ontario Street South,Milton,L9T 5E4,,,https://www.openstreetmap.org/node/3350782376,
The Works,amenity:restaurant,milton@worksburger.com,+1-905-875-0700,https://worksburger.com/,190,Main Street East,,L9T 1N8,,,https://www.openstreetmap.org/node/2216883986,
Thera Float + Massage,shop:massage,info@therafloatmassage.com,+1-289-245-1992,https://therafloatmassage.com,3480,Fairview Street,,L7N 2R5,,,https://www.openstreetmap.org/node/10138292084,
Thrive Massage Therapy & Wellness,shop:massage,connect@thrivemassagewellness.com,+1-289-245-1111,https://www.thrivemassagewellness.com/,2289,Fairview Street,Burlington,L7R 2E3,,,https://www.openstreetmap.org/node/11972542868,
Toronto Premium Outlets - Bitcoin Well ATM,amenity:atm,hello@bitcoinwell.com,+1-888-711-3866,https://bitcoinwell.com,13850,Steeles Avenue West,Halton Hills,L7G 0J1,,,https://www.openstreetmap.org/node/13937739311,
Trafalgar Ridge Dental,amenity:dentist,info@dentistryinoakville.ca,+1-905-257-4910,https://dentistryinoakville.ca,2423,Trafalgar Road,,L6H 6K7,,,https://www.openstreetmap.org/node/3412091321,
Wastewise: Charity Thrift Store,shop:second_hand,wastewise@wastewise.ca,+1-905-873-8122,https://wastewise.ca/?home,12,Armstrong Avenue,,L7G 4R9,,,https://www.openstreetmap.org/node/12997660201,
Watan Kabob,amenity:restaurant,info@watankabob.com,+1 905 712 2221,https://watankabob.com/,6974,Financial Drive,,,,,https://www.openstreetmap.org/node/1336805343,
